Date,sero,daily_death_NorthEast,sero_lower,sero_upper
2020/4/10,,79,,
2020/4/11,,73,,
2020/4/12,,63,,
2020/4/13,,51,,
2020/4/14,,67,,
2020/4/15,,46,,
2020/4/16,,47,,
2020/4/17,,59,,
2020/4/18,,68,,
2020/4/19,0.042,58,0.03,0.062
2020/4/20,,52,,
2020/4/21,,49,,
2020/4/22,,53,,
2020/4/23,,50,,
2020/4/24,,37,,
2020/4/25,,62,,
2020/4/26,,48,,
2020/4/27,,39,,
2020/4/28,,50,,
2020/4/29,,36,,
2020/4/30,,47,,
2020/5/1,,52,,
2020/5/2,,55,,
2020/5/3,,43,,
2020/5/4,,34,,
2020/5/5,,36,,
2020/5/6,,36,,
2020/5/7,,46,,
2020/5/8,,36,,
2020/5/9,,30,,
2020/5/10,,27,,
2020/5/11,,25,,
2020/5/12,,23,,
2020/5/13,,32,,
2020/5/14,,31,,
2020/5/15,,25,,
2020/5/16,,35,,
2020/5/17,0.071,33,0.053,0.093
2020/5/18,,37,,
2020/5/19,,21,,
2020/5/20,,20,,
2020/5/21,,27,,
2020/5/22,,19,,
2020/5/23,,20,,
2020/5/24,,18,,
2020/5/25,,13,,
2020/5/26,,26,,
2020/5/27,,18,,
2020/5/28,,18,,
2020/5/29,,25,,
2020/5/30,,14,,
2020/5/31,,12,,
2020/6/1,,11,,
2020/6/2,,20,,
2020/6/3,,12,,
2020/6/4,,9,,
2020/6/5,,15,,
2020/6/6,,5,,
2020/6/7,,11,,
2020/6/8,,9,,
2020/6/9,,10,,
2020/6/10,,8,,
2020/6/11,,7,,
2020/6/12,,6,,
2020/6/13,,4,,
2020/6/14,0.063,6,0.045,0.085
2020/6/15,,2,,
2020/6/16,,7,,
2020/6/17,,2,,
2020/6/18,,6,,
2020/6/19,,1,,
2020/6/20,,3,,
2020/6/21,,5,,
2020/6/22,,5,,
2020/6/23,,3,,
2020/6/24,,3,,
2020/6/25,,6,,
2020/6/26,,5,,
2020/6/27,,3,,
2020/6/28,,6,,
2020/6/29,,2,,
2020/6/30,,1,,
2020/7/1,,2,,
2020/7/2,,1,,
2020/7/3,,2,,
2020/7/4,,0,,
2020/7/5,,2,,
2020/7/6,,1,,
2020/7/7,,1,,
2020/7/8,,1,,
2020/7/9,,1,,
2020/7/10,,3,,
2020/7/11,,0,,
2020/7/12,0.047,2,0.031,0.066
2020/7/13,,1,,
2020/7/14,,2,,
2020/7/15,,0,,
2020/7/16,,0,,
2020/7/17,,0,,
2020/7/18,,1,,
2020/7/19,,1,,
2020/7/20,,1,,
2020/7/21,,0,,
2020/7/22,,1,,
2020/7/23,,1,,
2020/7/24,,0,,
2020/7/25,,0,,
2020/7/26,,0,,
2020/7/27,,0,,
2020/7/28,,1,,
2020/7/29,,1,,
2020/7/30,,0,,
2020/7/31,,1,,
2020/8/1,,0,,
2020/8/2,,0,,
2020/8/3,,2,,
2020/8/4,,0,,
2020/8/5,,0,,
2020/8/6,,0,,
2020/8/7,,0,,
2020/8/8,,0,,
2020/8/9,0.05,2,0.033,0.069
2020/8/10,,2,,
2020/8/11,,1,,
2020/8/12,,0,,
2020/8/13,,0,,
2020/8/14,,0,,
2020/8/15,,1,,
2020/8/16,,0,,
2020/8/17,,2,,
2020/8/18,,1,,
2020/8/19,,1,,
2020/8/20,,0,,
2020/8/21,,0,,
2020/8/22,,0,,
2020/8/23,,1,,
2020/8/24,,0,,
2020/8/25,,0,,
2020/8/26,,0,,
2020/8/27,,1,,
2020/8/28,,1,,
2020/8/29,,2,,
2020/8/30,,0,,
2020/8/31,,0,,
2020/9/1,,0,,
2020/9/2,,0,,
2020/9/3,,1,,
2020/9/4,,0,,
2020/9/5,,1,,
2020/9/6,0.039,1,0.024,0.057
2020/9/7,,1,,
2020/9/8,,0,,
2020/9/9,,0,,
2020/9/10,,0,,
2020/9/11,,2,,
2020/9/12,,1,,
2020/9/13,,1,,
2020/9/14,,0,,
2020/9/15,,1,,
2020/9/16,,2,,
2020/9/17,,5,,
2020/9/18,,3,,
2020/9/19,,1,,
2020/9/20,,3,,
2020/9/21,,3,,
2020/9/22,,1,,
2020/9/23,,4,,
2020/9/24,,1,,
2020/9/25,,5,,
2020/9/26,,5,,
2020/9/27,,13,,
2020/9/28,,6,,
2020/9/29,,5,,
2020/9/30,,3,,
2020/10/1,,5,,
2020/10/2,,18,,
2020/10/3,,7,,
2020/10/4,,11,,
2020/10/5,,6,,
2020/10/6,,10,,
2020/10/7,,10,,
2020/10/8,,14,,
2020/10/9,,10,,
2020/10/10,,15,,
2020/10/11,,16,,
2020/10/12,,12,,
2020/10/13,,12,,
2020/10/14,,16,,
2020/10/15,,16,,
2020/10/16,,15,,
2020/10/17,,15,,
2020/10/18,,14,,
2020/10/19,,20,,
2020/10/20,,19,,
2020/10/21,,19,,
2020/10/22,,21,,
2020/10/23,,15,,
2020/10/24,,13,,
2020/10/25,,17,,
2020/10/26,,22,,
2020/10/27,,19,,
2020/10/28,,25,,
2020/10/29,,18,,
2020/10/30,,25,,
2020/10/31,,19,,
2020/11/1,,26,,
2020/11/2,,16,,
2020/11/3,,18,,
2020/11/4,,23,,
2020/11/5,,22,,
2020/11/6,,27,,
2020/11/7,,31,,
